id	priority	code	name	reputation	schooltype	belongto	major	department	studentnum	major_detail	province	city	money	sex	years	language	fill_date	edit_date
26	本一A	10001	北京大学	100	综合	教育部	数学类	数学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
27	本一A	10001	北京大学	100	综合	教育部	城乡规划	城乡规划	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
28	本一A	10001	北京大学	100	综合	教育部	地球物理学类	地球物理学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
29	本一A	10001	北京大学	100	综合	教育部	电子信息类	电子信息类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
30	本一A	10001	北京大学	100	综合	教育部	法学	法学	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
31	本一A	10001	北京大学	100	综合	教育部	工科试验班类	工科试验班类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
32	本一A	10001	北京大学	100	综合	教育部	工商管理类	工商管理类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
33	本一A	10001	北京大学	100	综合	教育部	化学类	化学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
34	本一A	10001	北京大学	100	综合	教育部	经济学类	经济学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
35	本一A	10001	北京大学	100	综合	教育部	理科试验班类	理科试验班类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
36	本一A	10001	北京大学	100	综合	教育部	生物科学	生物科学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
